year,naics,description,exports,imports,netexports
2002,990,"Special Classification Provisions, Nesoi",24.1,-16.9,7.2
2003,990,"Special Classification Provisions, Nesoi",24.3,-17.7,6.6
2004,990,"Special Classification Provisions, Nesoi",25.7,-19.9,5.8
2005,990,"Special Classification Provisions, Nesoi",28.5,-23.4,5.0
2006,990,"Special Classification Provisions, Nesoi",31.3,-25.0,6.4
2007,990,"Special Classification Provisions, Nesoi",35.5,-28.6,7.0
2008,990,"Special Classification Provisions, Nesoi",39.8,-30.8,9.0
2009,990,"Special Classification Provisions, Nesoi",32.8,-22.5,10.2
2010,990,"Special Classification Provisions, Nesoi",43.9,-19.6,24.3
2011,990,"Special Classification Provisions, Nesoi",42.7,-20.5,22.2
2012,990,"Special Classification Provisions, Nesoi",45.7,-19.4,26.3
2013,990,"Special Classification Provisions, Nesoi",47.3,-20.9,26.4
